sampleID,read_count,HC_subCST,Lactobacillus_iners,Lactobacillus_crispatus,Gardnerella_vaginalis,Lactobacillus_jensenii,Lactobacillus_gasseri,Atopobium_vaginae,BVAB1,Sneathia_sanguinegens,g_Megasphaera,g_Streptococcus,Prevotella_timonensis,g_Fastidiosipila,g_Anaerococcus,g_Peptoniphilus,g_Corynebacterium_1,g_Finegoldia,g_Bifidobacterium,g_Aerococcus,Prevotella_amnii,BVAB_TM7,g_Prevotella,g_Parvimonas,Prevotella_bivia,g_Staphylococcus,g_Dialister,g_Senegalimassilia,g_Enterococcus,g_Lactobacillus,g_Mobiluncus,g_Gemella,g_Peptostreptococcus,g_Escherichia.Shigella,g_Porphyromonas,g_Veillonella,Lactobacillus_reuteri,Prevotella_colorans,g_Ezakiella,Prevotella_buccalis,g_Ureaplasma,d_Eukaryota,Lactobacillus_ultunensis_1,g_Alloscardovia,Lactobacillus_coleohominis,Prevotella_disiens,g_Moryella,Prevotella_nanceiensis,g_Mycoplasma,Prevotella_corporis,g_Actinomyces,g_Haemophilus,g_Klebsiella,g_Varibaculum,g_Rikenellaceae_RC9_gut_group,g_Proteus,g_Clostridium_sensu_stricto_1,g_Campylobacter,g_Paeniglutamicibacter,g_Fusobacterium,Prevotella_melaninogenica,g_Howardella,g_Peptococcus,f_Bacteroidales_S24.7_group,g_Bacteroides,g_Facklamia,g_Olsenella,g_Arcanobacterium,g_Lawsonella,g_Brevibacterium,g_Oligella,d_NA,f_Enterobacteriaceae,g_Propionimicrobium,g_Halomonas,g_Helcococcus,g_Murdochiella,Prevotella_denticola,g_Bulleidia,g_Micrococcus,g_Propionibacterium,g_Gallicola,g_Shewanella,g_Roseburia,p_Proteobacteria,g_Corynebacterium,o_Micrococcales,Lactobacillus_paracasei_Lactobacillus_rhamnosus,g_Jonquetella,g_Acinetobacter,g_Blautia,Atopobium_parvulum,g_Collinsella,g_Ruminococcaceae_UCG.014,Prevotella_oris,Sneathia_amnii,g_Stenotrophomonas,g_Faecalibacterium,Atopobium_deltae,f_Lachnospiraceae,f_Family_XI,Prevotella_veroralis,Lactobacillus_salivarius,g_Ralstonia,g_Granulicatella,g_Slackia,g_Rothia,g_Neisseria,g_Nosocomiicoccus,g_Sutterella,Prevotellaceae_bacterium,g_Kocuria,Prevotella_bergensis,f_Family_XIII,g_Globicatella,g_Alloprevotella,Lactobacillus_kefiranofaciens,g_Zimmermannella,g_Actinotignum,g_Sneathia,f_Mycoplasmataceae,g_Negativicoccus,Lactobacillus_fermentum,g_Solobacterium,g_Subdoligranulum,g_Trichococcus,Lactobacillus_delbrueckii,g_Dermabacter,f_Corynebacteriaceae,Atopobium_minutum,g_Lactococcus,g_Sarcina,Lactobacillus_pontis,g_Ruminococcaceae_UCG.002,g_Ruminococcus_2,f_Ruminococcaceae,g_Variovorax,g_Dorea,g_Christensenellaceae_R.7_group,g_Weeksella,g_Rhizobium,g_Anaeroglobus,g_Helcobacillus,Prevotella_copri,g_Alistipes,Lactobacillus_equicursoris,g_Actinobaculum,g_Tessaracoccus,g_Helicobacter,g_Leucobacter,g_Trueperella,f_Halomonadaceae,g_Parabacteroides,Lactobacillus_aviarius,g_Ruminococcus_1,c_Betaproteobacteria,g_Phascolarctobacterium,g_Burkholderia.Paraburkholderia,Prevotella_histicola,f_Neisseriaceae,g_Enhydrobacter,g_Bacillus,g_Anaerostipes,c_Clostridia,f_Prevotellaceae,g_Pyramidobacter,f_Carnobacteriaceae,g_Fusicatenibacter,g_Distigma,g_Serratia,g_Enterobacter,g_Acidaminococcus,g_Citrobacter,f_Pasteurellaceae,g_Pasteurella,g_Delftia,g_Bergeyella,f_Peptostreptococcaceae,g_Lachnospiraceae_FE2018_group,Shuttleworthia_satelles,g_Actinobacillus,g_Lachnoclostridium,g_Sporosarcina,g_Sphingomonas,g_Akkermansia,g_Pseudarthrobacter,g_Mogibacterium,g_Cupriavidus,Prevotella_stercorea,g_Kluyvera,g_Leptotrichia,g_Romboutsia,g_Coprococcus_3,g_Coprococcus_2,c_Chloroplast,o_Clostridiales,g_Scardovia,g_Lachnospira,g_Lachnospiraceae_NK4A136_group,g_Catonella,g_Pediococcus,subCST,Pct I-A,Pct I-B,Pct II,Pct III-A,Pct III-B,Pct IV-A,Pct IV-B,Pct IV-C0,Pct IV-C1,Pct IV-C2,Pct IV-C3,Pct IV-C4,Pct V
10606,142139,IV-B,20031,50,46746,18,0,16030,34,6275,5242,0,0,5970,38,1475,0,0,0,259,25965,3,0,3246,52,0,1827,5040,3,0,0,1310,0,0,0,0,0,100,0,149,5,0,0,0,0,0,0,0,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-B,3.4841844e-18,5.7551933e-08,1.0963707e-06,1.2683814e-22,0.0051134843,0.000600278,0.9942847,6.5974897e-09,1.5547832e-10,1.388078e-09,3.420118e-08,3.327923e-08,2.388277e-07
2555,12175,IV-B,117,0,1316,0,0,1725,1011,2054,1002,61,36,334,15,211,279,244,0,296,598,207,303,48,79,0,248,1064,0,0,5,194,112,0,17,75,0,55,0,24,0,0,0,0,0,7,6,27,12,0,6,17,0,0,19,0,0,8,30,0,0,11,4,14,0,0,0,8,0,12,0,3,0,0,26,0,0,0,2,8,2,0,17,23,0,0,25,0,0,0,0,0,0,7,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-B,2.6737449e-17,5.9274427e-08,5.5396306e-08,4.5035734e-28,0.00019676358,0.092421584,0.9073782,1.3917263e-06,3.2592057e-10,1.33817135e-08,1.8310512e-06,1.4757268e-07,1.36646054e-08
5188,14980,IV-C4,63,60,76,0,12,63,29,3,4,24,10,0,9,64,673,31,0,18,0,0,8,33,0,12053,4,0,0,0,6,22,0,0,9,0,0,0,6,0,0,96,0,0,0,0,7,0,0,0,46,0,0,58,0,0,0,8,86,0,0,0,0,0,0,15,6,4,56,130,0,3,0,0,455,0,6,0,0,68,31,0,426,0,0,19,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-C4,3.6591982e-17,2.5052665e-13,4.485743e-15,1.12901e-40,3.5361322e-10,1.6413937e-20,1.7554748e-17,1.2799904e-08,1.8261878e-29,8.9013845e-15,2.3063657e-10,1.0,1.1150988e-13
12272,41161,I-A,24,38615,12,1255,6,5,0,0,0,7,0,0,8,12,34,17,0,0,0,0,0,0,6,658,53,0,0,0,0,0,0,0,8,0,116,0,16,0,101,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,I-A,0.99985874,0.00014127376,9.0731604e-33,4.8192495e-34,3.244446e-30,6.49604e-40,2.4039725e-34,5.9838757e-33,0.0,8.413208e-37,2.3257075e-38,1.2757677e-32,1.0896036e-25
12732,14729,IV-A,3576,0,3206,0,0,3331,2428,15,1012,0,0,56,0,6,0,0,0,198,9,597,110,81,0,0,19,55,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-A,7.012642e-19,9.910246e-08,7.969568e-07,1.0659931e-18,0.15441318,0.7901881,0.055397436,2.7077965e-10,6.1451217e-09,1.0879604e-09,1.4025388e-08,3.8029e-09,4.07803e-07
871,81307,III-A,66943,26,7184,540,341,2866,6,92,7,5,0,5,0,6,11,0,0,329,344,1604,0,11,7,0,30,30,0,57,0,23,0,3,0,0,108,0,2,0,79,11,0,0,512,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III-A,2.7210247e-31,5.1187072e-08,6.421711e-10,0.9937843,0.0062156403,2.751547e-15,2.7274884e-16,2.3005077e-19,1.6017739e-18,1.2190407e-16,1.2326332e-18,1.4159542e-14,1.5860463e-08
154,38034,IV-A,1041,63,6815,0,6,881,19325,57,1894,26,108,304,66,216,9,58,0,200,0,5361,401,152,23,0,202,108,0,0,12,3,26,0,100,0,0,30,235,18,0,0,0,0,0,3,0,6,0,181,3,0,0,21,28,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-A,1.7911312e-23,3.191146e-10,6.591812e-11,2.7702168e-36,2.5679442e-06,0.9999467,5.072463e-05,1.0128686e-12,5.6899444e-16,3.1419127e-13,1.979943e-10,2.3884254e-11,1.6897332e-11
11706,79294,IV-B,46,29,20250,0,7,8265,361,1901,16,13,3435,2928,10516,739,147,38,0,182,332,0,193,3744,0,0,756,166,0,0,4084,0,4667,0,707,0,0,45,0,0,0,586,0,0,0,0,9854,0,0,0,49,0,0,0,0,0,0,0,0,0,0,18,4183,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-B,2.4898724e-21,1.2358618e-07,8.577224e-07,2.7843439e-31,1.1774399e-06,1.8769036e-06,0.99999166,7.950448e-07,1.1113489e-12,7.587286e-10,1.8943954e-08,1.5461605e-08,3.483729e-06
7998,68052,I-A,569,58810,183,857,27,0,0,0,0,52,571,25,875,653,222,1037,0,8,0,0,0,0,503,34,270,0,0,177,31,0,226,0,102,0,1011,117,635,28,114,63,0,0,0,229,53,0,0,4,6,0,0,30,0,0,0,139,5,7,0,13,5,11,7,9,11,0,63,0,0,14,0,14,0,0,43,0,0,0,13,8,0,0,0,0,0,0,9,0,0,0,0,60,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,42,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I-A,0.9988864,0.0011135802,1.0295065e-29,8.049055e-32,1.3239678e-27,1.4436638e-36,3.9046285e-31,1.9156975e-29,3.1e-44,1.1671957e-33,3.678982e-35,3.882515e-30,9.385278e-24
8738,125732,III-A,120763,31,101,0,0,0,0,0,0,75,30,0,575,164,510,1998,21,0,0,0,0,0,174,140,11,0,0,0,12,4,46,0,16,0,0,8,0,0,0,423,0,0,0,104,0,0,0,0,32,20,0,0,0,0,0,0,0,0,17,0,0,0,90,20,0,0,23,0,0,154,0,0,0,0,8,0,0,0,3,0,0,0,0,55,0,0,0,0,9,0,0,12,0,0,4,10,4,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,III-A,5.397258e-36,5.514734e-09,1.4792685e-12,0.9999504,4.962128e-05,1.6713118e-19,1.9482137e-21,2.035712e-23,1.7359642e-23,3.470525e-20,3.406188e-22,3.0173547e-17,7.5144885e-10
